,,,,,FIRST,MIDDLE,LAST,SUFFIX,,,
HARPER,Anthony Ward 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,256,000010
HARPER,Anthony Ward 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,88,000020
HARPER,Anthony Ward 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,125,000020
HARPER,Anthony Ward 3,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,20,000030
HARPER,Anthony Ward 3,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,54,000030
HARPER,Anthony Ward 4,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,52,000040
HARPER,Anthony Ward 4,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,90,000040
HARPER,Harper Ward 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,100,000050
HARPER,Harper Ward 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,138,000050
HARPER,Harper Ward 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,118,000060
HARPER,Harper Ward 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,169,000060
HARPER,Township 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,113,000070
HARPER,Township 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,279,000070
HARPER,Township 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,8,000080
HARPER,Township 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,43,000080
HARPER,Township 4,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,33,000100
HARPER,Township 4,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,41,000100
HARPER,Township 3 East,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,22,800010
HARPER,Township 3 East,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,34,800010
HARPER,Township 3 West,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,22,800020
HARPER,Township 3 West,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,60,800020
HARPER,Township 5 East,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,56,800030
HARPER,Township 5 East,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,91,800030
HARPER,Township 5 West,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,14,800040
HARPER,Township 5 West,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,28,800040
HARPER,Township 6 East,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,31,800050
HARPER,Township 6 East,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,63,800050
HARPER,Township 6 West,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,7,800060
HARPER,Township 6 West,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,26,800060
HARPER,Anthony Ward 2 Exclave 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900010
HARPER,Anthony Ward 2 Exclave 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900010
HARPER,Anthony Ward 2 Exclave 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900020
HARPER,Anthony Ward 2 Exclave 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900020
HARPER,Anthony Ward 3 Exclave 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900030
HARPER,Anthony Ward 3 Exclave 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900030
HARPER,Anthony Ward 3 Exclave 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900040
HARPER,Anthony Ward 3 Exclave 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900040
HARPER,Anthony Ward 4 Exclave 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900050
HARPER,Anthony Ward 4 Exclave 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900050
HARPER,Harper Ward 1 Exclave 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900060
HARPER,Harper Ward 1 Exclave 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900060
HARPER,Township 5 West Enclave,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,900070
HARPER,Township 5 West Enclave,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,900070
HARVEY,Alta Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,107,000010
HARVEY,Burrton Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,89,000020
HARVEY,Emma Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,226,000040
HARVEY,Garden Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,117,000050
HARVEY,Halstead City Ward 1 Precinct 1,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,303,000060
HARVEY,Halstead City Ward 1 Precinct 2,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,393,000070
HARVEY,Halstead Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,107,000080
HARVEY,Hesston Precinct 1,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,647,000090
HARVEY,Hesston Precinct 2,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,719,00010A
HARVEY,Highland Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,158,000110
HARVEY,Lake Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,71,000120
HARVEY,Lakin Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,92,000130
HARVEY,Macon Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,211,000140
HARVEY,Newton City Ward 1 Precinct 1,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,183,000150
HARVEY,Newton City Ward 1 Precinct 1,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,205,000150
HARVEY,Newton City Ward 1 Precinct 2,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,136,000160
HARVEY,Newton City Ward 1 Precinct 2,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,200,000160
HARVEY,Newton City Ward 1 Precinct 3,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,93,000170
HARVEY,Newton City Ward 1 Precinct 3,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,147,000170
HARVEY,Newton City Ward 2 Precinct 1,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,135,000180
HARVEY,Newton City Ward 2 Precinct 1,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,187,000180
HARVEY,Newton City Ward 2 Precinct 2,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,395,00019A
HARVEY,Newton City Ward 2 Precinct 2,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,521,00019A
HARVEY,Newton City Ward 3 Precinct 1,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,154,000200
HARVEY,Newton City Ward 3 Precinct 1,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,236,000200
HARVEY,Newton City Ward 3 Precinct 2,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,218,000210
HARVEY,Newton City Ward 3 Precinct 2,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,374,000210
HARVEY,Newton City Ward 3 Precinct 3 Part A,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,188,00022A
HARVEY,Newton City Ward 3 Precinct 3 Part A,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,342,00022A
HARVEY,Newton City Ward 4 Precinct 1,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,209,000230
HARVEY,Newton City Ward 4 Precinct 1,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,262,000230
HARVEY,Newton City Ward 4 Precinct 2,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,365,000240
HARVEY,Newton City Ward 4 Precinct 2,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,502,000240
HARVEY,Newton City Ward 4 Precinct 3,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,265,000250
HARVEY,Newton City Ward 4 Precinct 3,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,430,000250
HARVEY,Newton City Ward 4 Precinct 4,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,118,000260
HARVEY,Newton City Ward 4 Precinct 4,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,165,000260
HARVEY,Newton Township Part A,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,00027A
HARVEY,Newton Township Part A,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,00027A
HARVEY,Newton Township Part B,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,38,00027B
HARVEY,Newton Township Part B,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,130,00027B
HARVEY,Newton Township Part B Exclave,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,00027C
HARVEY,Newton Township Part B Exclave,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,00027C
HARVEY,Newton Township Part C,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,00027D
HARVEY,Newton Township Part C,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,00027D
HARVEY,North Newton City,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,562,000280
HARVEY,North Newton City,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,363,000280
HARVEY,Pleasant Township,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,92,000290
HARVEY,Pleasant Township,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,177,000290
HARVEY,Richland Township,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,43,000300
HARVEY,Richland Township,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,155,000300
HARVEY,Sedgwick Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,122,000310
HARVEY,Walton Township,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,112,000320
HARVEY,Darlington Township H72,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,16,120020
HARVEY,Darlington Township H72,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,49,120020
HARVEY,Darlington Township H74,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,175,120030
HARVEY,Newton City Ward 3 Precinct 4,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,344,800010
HARVEY,Newton City Ward 3 Precinct 4,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,731,800010
HARVEY,Burrton City,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,285,900010
HARVEY,Sedgwick City,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,516,900020
HARVEY,Walton City,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,88,900030
HARVEY,Burrton City Exclave,Kansas House of Representatives,74,"Schroeder, Don  ",Don,,Schroeder,,Republican,0,900040
HARVEY,Newton Township Part D,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,7,900050
HARVEY,Newton Township Part D,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,45,900050
HARVEY,Newton Township Part E,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,900060
HARVEY,Newton Township Part E,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,900060
HARVEY,Newton Township Part F,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,900070
HARVEY,Newton Township Part F,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,900070
HARVEY,Newton Township Part G,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,0,900080
HARVEY,Newton Township Part G,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,0,900080
HASKELL,Ivanhoe Township,Kansas House of Representatives,122,"Jennings, J. Russell ""Russ"" ",J. Russell,"""Russ""",Jennings,,Republican,47,000010
HASKELL,North Dudley,Kansas House of Representatives,122,"Jennings, J. Russell ""Russ"" ",J. Russell,"""Russ""",Jennings,,Republican,51,000020
HASKELL,North Lockport,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,5,000030
HASKELL,North Lockport,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,48,000030
HASKELL,Satanta 1,Kansas House of Representatives,124,"Alford, J. Stephen ",J.,Stephen,Alford,,Republican,77,000040
HASKELL,South Lockport,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,8,000060
HASKELL,South Lockport,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,47,000060
HASKELL,Satanta 2 H122,Kansas House of Representatives,122,"Jennings, J. Russell ""Russ"" ",J. Russell,"""Russ""",Jennings,,Republican,20,120020
HASKELL,Satanta 2 H124,Kansas House of Representatives,124,"Alford, J. Stephen ",J.,Stephen,Alford,,Republican,308,120030
HASKELL,Sublette 1 H122,Kansas House of Representatives,122,"Jennings, J. Russell ""Russ"" ",J. Russell,"""Russ""",Jennings,,Republican,21,120040
HASKELL,Sublette 1 H124,Kansas House of Representatives,124,"Alford, J. Stephen ",J.,Stephen,Alford,,Republican,316,120050
HASKELL,Sublette 3 H122,Kansas House of Representatives,122,"Jennings, J. Russell ""Russ"" ",J. Russell,"""Russ""",Jennings,,Republican,4,120060
HASKELL,Sublette 3 H124,Kansas House of Representatives,124,"Alford, J. Stephen ",J.,Stephen,Alford,,Republican,215,120070
HODGEMAN,Benton Township,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,6,000010
HODGEMAN,Benton Township,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,20,000010
HODGEMAN,Marena Township,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,57,000020
HODGEMAN,Marena Township,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,183,000020
HODGEMAN,North Center,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,45,000030
HODGEMAN,North Center,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,251,000030
HODGEMAN,North Hallet,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,1,000040
HODGEMAN,North Hallet,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,8,000040
HODGEMAN,North Roscoe,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,1,000050
HODGEMAN,North Roscoe,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,28,000050
HODGEMAN,Sawlog Township,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,9,000060
HODGEMAN,Sawlog Township,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,37,000060
HODGEMAN,South Center,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,35,000070
HODGEMAN,South Center,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,237,000070
HODGEMAN,South Hallet,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,1,000080
HODGEMAN,South Hallet,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,17,000080
HODGEMAN,South Roscoe,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,1,000090
HODGEMAN,South Roscoe,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,32,000090
HODGEMAN,Sterling Township,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,17,000100
HODGEMAN,Sterling Township,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,51,000100
HODGEMAN,Valley Township,Kansas House of Representatives,117,"McKinney, Dennis  ",Dennis,,McKinney,,Democratic,3,000110
HODGEMAN,Valley Township,Kansas House of Representatives,117,"Ewy, John L. ",John,L.,Ewy,,Republican,19,000110
JACKSON,Adrian Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,58,000010
JACKSON,Banner Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,119,000020
JACKSON,Cedar Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,407,000030
JACKSON,Douglas Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,751,000040
JACKSON,Franklin Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,372,000050
JACKSON,Garfield Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,205,000060
JACKSON,Grant Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,70,000070
JACKSON,Holton Ward 1,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,327,00008A
JACKSON,Holton Ward 1 Exclave City Lake,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,0,00008B
JACKSON,Holton Ward 2,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,390,000090
JACKSON,Holton Ward 3,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,292,00010A
JACKSON,Holton Ward 3 Exclave Industrial Park,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,0,00010B
JACKSON,Jefferson Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,202,000110
JACKSON,Liberty Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,221,000120
JACKSON,Lincoln Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,247,000130
JACKSON,Netawaka Township,Kansas House of Representatives,62,"Stones, Dennis R. ",Dennis,R.,Stones,,Democratic,57,000140
JACKSON,Netawaka Township,Kansas House of Representatives,62,"Garber, Randy  ",Randy,,Garber,,Republican,92,000140
JACKSON,Soldier Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,153,000150
JACKSON,Straight Creek Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,63,000160
JACKSON,Washington Township,Kansas House of Representatives,61,"Carlson, Richard  ",Richard,,Carlson,,Republican,217,000170
JACKSON,Whiting Township,Kansas House of Representatives,62,"Stones, Dennis R. ",Dennis,R.,Stones,,Democratic,62,000180
JACKSON,Whiting Township,Kansas House of Representatives,62,"Garber, Randy  ",Randy,,Garber,,Republican,93,000180
JEFFERSON,Delaware Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,365,000010
JEFFERSON,Delaware Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,426,000010
JEFFERSON,East Fairview,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,160,000020
JEFFERSON,East Fairview,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,222,000020
JEFFERSON,Jefferson Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,176,000030
JEFFERSON,Jefferson Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,257,000030
JEFFERSON,Kaw Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,233,000040
JEFFERSON,Kaw Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,421,000040
JEFFERSON,Kentucky Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,149,000050
JEFFERSON,Kentucky Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,547,000050
JEFFERSON,Norton Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,141,000060
JEFFERSON,Norton Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,205,000060
JEFFERSON,Oskaloosa Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,349,000070
JEFFERSON,Oskaloosa Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,539,000070
JEFFERSON,Ozawkie Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,274,000080
JEFFERSON,Ozawkie Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,410,000080
JEFFERSON,Rock Creek Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,484,000090
JEFFERSON,Rock Creek Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,648,000090
JEFFERSON,Rural Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,126,000100
JEFFERSON,Rural Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,217,000100
JEFFERSON,Sarcoxie Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,282,000110
JEFFERSON,Sarcoxie Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,232,000110
JEFFERSON,Union Township,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,277,000120
JEFFERSON,Union Township,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,397,000120
JEFFERSON,West Fairview,Kansas House of Representatives,47,"Hanson, Bruce  ",Bruce,,Hanson,,Democratic,120,000130
JEFFERSON,West Fairview,Kansas House of Representatives,47,"Gonzalez, Ramon C. Jr.",Ramon,C.,Gonzalez,Jr.,Republican,221,000130
JEWELL,Allen Township,Kansas House of Representatives,106,"Levendofsky, Nick  ",Nick,,Levendofsky,,Democratic,3,000010
JEWELL,Allen Township,Kansas House of Representatives,106,"Schwartz, Sharon  ",Sharon,,Schwartz,,Republican,7,000010
JEWELL,Athens Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,19,000020
JEWELL,Browns Creek Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,29,000030
JEWELL,Buffalo Township,Kansas House of Representatives,106,"Levendofsky, Nick  ",Nick,,Levendofsky,,Democratic,51,000040
JEWELL,Buffalo Township,Kansas House of Representatives,106,"Schwartz, Sharon  ",Sharon,,Schwartz,,Republican,161,000040
JEWELL,Burr Oak Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,81,000050
JEWELL,Calvin Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,35,000060
JEWELL,Center Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,376,000070
JEWELL,Erving Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,11,000080
JEWELL,Esbon Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,63,000090
JEWELL,Grant Township,Kansas House of Representatives,106,"Levendofsky, Nick  ",Nick,,Levendofsky,,Democratic,40,000100
JEWELL,Grant Township,Kansas House of Representatives,106,"Schwartz, Sharon  ",Sharon,,Schwartz,,Republican,40,000100
JEWELL,Harrison Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,14,000110
JEWELL,Highland Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,13,000120
JEWELL,Holmwood Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,13,000130
JEWELL,Ionia Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,39,000140
JEWELL,Jackson Township,Kansas House of Representatives,106,"Levendofsky, Nick  ",Nick,,Levendofsky,,Democratic,23,000150
JEWELL,Jackson Township,Kansas House of Representatives,106,"Schwartz, Sharon  ",Sharon,,Schwartz,,Republican,34,000150
